Date,pos,neg,neutral,compound,pos',neg',neutral',compound'
2009/6/9,0.04964,0.25512,0.69516,-0.384188,-0.03592,0.086,-0.0502,-0.217804
2009/6/10,0.05244,0.15664,0.79092,-0.21722,0.0028,-0.09848,0.09576,0.166968
2009/6/11,0.10256,0.15364,0.74372,-0.150164,0.05012,-0.003,-0.0472,0.067056
2009/6/12,0.08584,0.15608,0.75808,-0.116552,-0.01672,0.00244,0.01436,0.033612
2009/6/15,0.02756,0.18508,0.78736,-0.288328,-0.05828,0.029,0.02928,-0.171776
2009/6/16,0.10072,0.1888,0.71048,-0.149436,0.07316,0.00372,-0.07688,0.138892
2009/6/17,0.0502,0.12144,0.82836,-0.170612,-0.05052,-0.06736,0.11788,-0.021176
2009/6/18,0.0786,0.14788,0.77356,-0.172852,0.0284,0.02644,-0.0548,-0.00224
2009/6/19,0.07596,0.20828,0.7158,-0.273456,-0.00264,0.0604,-0.05776,-0.100604
2009/6/22,0.1186,0.09636,0.785,0.010164,0.04264,-0.11192,0.0692,0.28362
2009/6/23,0.073,0.22208,0.70488,-0.327328,-0.0456,0.12572,-0.08012,-0.337492
2009/6/24,0.06188,0.19744,0.7406,-0.31966,-0.01112,-0.02464,0.03572,0.007668
2009/6/25,0.13056,0.14592,0.72352,-0.035596,0.06868,-0.05152,-0.01708,0.284064
2009/6/26,0.05192,0.17428,0.77384,-0.274568,-0.07864,0.02836,0.05032,-0.238972
2009/6/29,0.02752,0.17252,0.79996,-0.263344,-0.0244,-0.00176,0.02612,0.011224
2009/6/30,0.13152,0.1878,0.68072,-0.069788,0.104,0.01528,-0.11924,0.193556
2009/7/1,0.0978,0.0998,0.80236,-0.099804,-0.03372,-0.088,0.12164,-0.030016
2009/7/2,0.07676,0.20532,0.718,-0.173808,-0.02104,0.10552,-0.08436,-0.074004
2009/7/6,0.04156,0.28376,0.67468,-0.413192,-0.0352,0.07844,-0.04332,-0.239384
2009/7/7,0.04868,0.2246,0.72676,-0.334236,0.00712,-0.05916,0.05208,0.078956
2009/7/8,0.06776,0.18648,0.74568,-0.280852,0.01908,-0.03812,0.01892,0.053384
2009/7/9,0.03704,0.19152,0.77144,-0.362276,-0.03072,0.00504,0.02576,-0.081424
2009/7/10,0.032,0.256,0.71208,-0.397,-0.00504,0.06448,-0.05936,-0.034724
2009/7/13,0.07072,0.16648,0.76268,-0.254664,0.03872,-0.08952,0.0506,0.142336
2009/7/14,0.06076,0.25652,0.68272,-0.32556,-0.00996,0.09004,-0.07996,-0.070896
2009/7/15,0.07096,0.27684,0.65212,-0.43244,0.0102,0.02032,-0.0306,-0.10688
2009/7/16,0.07764,0.156,0.7664,-0.231248,0.00668,-0.12084,0.11428,0.201192
2009/7/17,0.078,0.1988,0.72324,-0.288964,0.00036,0.0428,-0.04316,-0.057716
2009/7/20,0.09584,0.20432,0.6998,-0.23468,0.01784,0.00552,-0.02344,0.054284
