Date,pos,neg,neutral,compound
2009/9/4,0.048382,0.20735,0.74442,-0.33978
2009/9/8,0.073164,0.25296,0.67369,-0.411
2009/9/9,0.091527,0.10147,0.80682,0.058005
2009/9/10,0.043964,0.10215,0.85389,-0.24634
2009/9/11,0.074855,0.22849,0.69671,-0.43358
2009/9/14,0.12242,0.079709,0.79782,0.10209
2009/9/15,0.14122,0.11778,0.74113,0.12616
2009/9/16,0.058273,0.10916,0.83256,-0.012865
2009/9/17,0.053036,0.19216,0.7548,-0.46572
2009/9/18,0.082364,0.21365,0.70382,-0.2514
2009/9/21,0.10022,0.12342,0.77633,-0.061378
2009/9/22,0.073636,0.20633,0.72004,-0.27448
2009/9/23,0.078473,0.11875,0.80284,-0.27996
2009/9/24,0.091018,0.13609,0.773,-0.19098
2009/9/25,0.10116,0.12342,0.77529,-0.072258
2009/9/28,0.13104,0.15744,0.71153,0.029665
2009/9/29,0.085945,0.2446,0.66931,-0.35927
2009/9/30,0.069,0.15149,0.7796,-0.09862
2009/10/1,0.060764,0.16825,0.77107,-0.23916
2009/10/2,0.0716,0.17804,0.75036,-0.081505
2009/10/5,0.085564,0.14211,0.77233,-0.21906
2009/10/6,0.039836,0.17785,0.78225,-0.24001
2009/10/7,0.016364,0.30355,0.68009,-0.58314
2009/10/8,0.060036,0.13953,0.80044,-0.086685
2009/10/9,0.051309,0.14429,0.80469,-0.18516
2009/10/12,0.079818,0.12435,0.79562,-0.10821
2009/10/13,0.0896,0.24531,0.665,-0.21245
2009/10/14,0.036636,0.1618,0.80156,-0.33413
2009/10/15,0.083927,0.12269,0.79338,-0.12805
2009/10/16,0.036945,0.066509,0.89655,-0.09966
2009/10/19,0.050927,0.27071,0.67836,-0.48851
2009/10/20,0.13369,0.080327,0.78585,0.15718
2009/10/21,0.0658,0.13765,0.7964,-0.11101
2009/10/22,0.13582,0.082527,0.78169,0.10109
2009/10/23,0.039727,0.078891,0.88138,-0.11819
2009/10/26,0.096745,0.17765,0.72567,-0.31783
2009/10/27,0.0814,0.22198,0.69676,-0.35294
2009/10/28,0.11771,0.13678,0.74556,0.013415
2009/10/29,0.049364,0.18573,0.76505,-0.33631
2009/10/30,0.087836,0.14704,0.76518,-0.094764
2009/11/2,0.038655,0.19182,0.7694,-0.26679
2009/11/3,0.11645,0.10776,0.77578,-0.073782
2009/11/4,0.061727,0.0692,0.86904,0.035431
2009/11/5,0.049055,0.15324,0.79753,-0.28412
2009/11/6,0.069018,0.20687,0.72424,-0.25455
2009/11/9,0.041145,0.12242,0.83644,-0.12466
2009/11/10,0.075109,0.14373,0.78116,-0.1039
2009/11/11,0.11807,0.13829,0.74364,-0.15616
2009/11/12,0.060964,0.21676,0.72227,-0.38673
2009/11/13,0.042036,0.13293,0.82513,-0.27417
2009/11/16,0.0128,0.248,0.73927,-0.52315
2009/11/17,0.12618,0.091418,0.7824,-0.14087
2009/11/18,0.0061455,0.18433,0.80953,-0.31155
2009/11/19,0.077655,0.19707,0.72505,-0.25645
2009/11/20,0.089709,0.16545,0.74487,-0.33503
2009/11/23,0.016291,0.15525,0.82845,-0.33316
2009/11/24,0.071145,0.17127,0.75755,-0.20188
2009/11/25,0.029636,0.16302,0.80735,-0.30111
2009/11/27,0.11024,0.18395,0.70582,-0.30685
2009/11/30,0.039255,0.23865,0.72209,-0.38235
2009/12/1,0.055764,0.21047,0.73376,-0.28693
2009/12/2,0.033382,0.29415,0.67255,-0.65009
2009/12/3,0.034691,0.19875,0.76667,-0.32216
2009/12/4,0.023436,0.19013,0.78644,-0.389
2009/12/7,0.049855,0.12064,0.82951,-0.08832
2009/12/8,0.053891,0.10311,0.84325,-0.15518
2009/12/9,0.12285,0.13485,0.74229,-0.02444
2009/12/10,0.042836,0.1396,0.81756,-0.31413
2009/12/11,0.045709,0.17824,0.77615,-0.37568
2009/12/14,0.081055,0.1654,0.75365,-0.16474
2009/12/15,0.091436,0.17796,0.7306,-0.24671
2009/12/16,0.056545,0.20482,0.73871,-0.35832
2009/12/17,0.035873,0.17162,0.79253,-0.36782
2009/12/18,0.11436,0.174,0.71147,-0.24747
2009/12/21,0.087255,0.091073,0.82167,-0.033167
2009/12/22,0.067782,0.16515,0.7672,-0.3559
2009/12/23,0.044727,0.10231,0.85296,-0.16269
2009/12/24,0.039618,0.10224,0.85815,-0.1413
2009/12/28,0.20464,0.081382,0.7138,0.28121
2009/12/29,0.083309,0.096436,0.82024,0.054345
2009/12/30,0.0061636,0.15516,0.83867,-0.31526
2009/12/31,0,0.20756,0.79244,-0.52371
2010/1/4,0.0086545,0.11998,0.87129,-0.35527
2010/1/5,0.022418,0.16415,0.81344,-0.30186
2010/1/6,0.058455,0.1632,0.77838,-0.39603
2010/1/7,0.15753,0.15018,0.69211,-0.079831
2010/1/8,0.14996,0.18105,0.66902,-0.20668
2010/1/11,0.067182,0.14909,0.78373,-0.16162
2010/1/12,0.071527,0.068491,0.86002,-0.030751
2010/1/13,0.078945,0.26216,0.65889,-0.26348
2010/1/14,0.066218,0.13811,0.79558,-0.32148
2010/1/15,0.056745,0.28582,0.65736,-0.35286
2010/1/19,0.010909,0.15315,0.83595,-0.35958
2010/1/20,0.13111,0.12264,0.74651,-0.038295
2010/1/21,0.064945,0.14149,0.79351,-0.15724
2010/1/22,0.19553,0.14276,0.66171,-0.024789
2010/1/25,0.038564,0.18571,0.77571,-0.37322
2010/1/26,0.062236,0.18996,0.74762,-0.31915
2010/1/27,0.061145,0.1948,0.74405,-0.37385
2010/1/28,0.018291,0.18449,0.79722,-0.26079
2010/1/29,0.047673,0.17065,0.78153,-0.43296
2010/2/1,0.027509,0.14111,0.83136,-0.24793
2010/2/2,0.17087,0.19476,0.63405,0.029175
2010/2/3,0.17342,0.12922,0.69736,-0.054538
